ludas koncerto;La muzikisto ___ la gitaron dum la ___. @The musician plays the guitar during the concert.
kuiras por;La kuiristo ___ paston ___ la vespermanĝo. @The chef cooks pasta for the evening meal.
lernas matematikon;La studento ___ ___ en la lernejo. @The student learns mathematics in the school.
kantas kafejo;La kantisto ___ en la ___. @The singer sings in the cafe.
legas libro;Ŝi ___ la ___ dum la pluvo. @She reads the book during the rain.
kuras parko;Li ___ en la ___. @He runs in the park.
manĝas pomo;La infano ___ la ___. @The child eats the apple.
astronomo en;La ___ observas stelojn per teleskopo ___ klara nokto. @The astronomer observes the stars through a telescope on a clear night.
kaj historion;La instruisto parolas, ___ la studentoj lernas ___ en la klasĉambro. @The teacher speaks, and the students learn history in the classroom.
Mia ĉe;___ patrino aĉetas legomojn ___ la lokaj merkato por prepari vespermanĝon. @My mother buys vegetables at the local market to prepare dinner.
futbalon kun;La infanoj ludas ___ ekster la domo ___ siaj amikoj. @The children play soccer outside the house with their friends.
promenas dum;Ni ___ ĉirkaŭ la lago ___ la sunsubiro. @We walk around the lake during the sunset.
taso;Ŝi verŝas teon en la ___. @She pours tea into the cup.
biciklo;Li veturas al la laborejo per ___. @He rides to work on a bicycle.
rano;La ___ saltas en la lageton. @The frog jumps into the pond.
trajno;Ni vojaĝas al Parizo per ___. @We travel to Paris by train.
suno;La ___ brilas sur la maro. @The sun shines on the sea.
floroj;La ĝardeno estas plena da ___. @The garden is full of flowers.
ĉapelo;La viro portas ___ ĉar la suno brilas. @The man wears a hat because the sun is shining.
bildo;Ŝi pentras ___ de la pejzaĝo. @She paints a picture of the landscape.
fruktoj;Mi aĉetas ___ ĉe la merkato. @I buy fruits at the market.
kato;La ___ dormas sur la sofo. @The cat sleeps on the sofa.
botelo;Mi aĉetas akvon en plastika ___ por la pikniko. @I buy water in a plastic bottle for the picnic.
aktoro;La ___ prenas paŭzon dum la teatra repetaĵo. @The actor takes a break during the theatrical rehearsal.
ĉokolado;Ŝi manĝas ___ kaj trinkas teon dum ŝi studas. @She eats chocolate and drinks tea while she studies.
sporto;La teamo trejnas serioze por la venonta ___ evento. @The team trains seriously for the upcoming sports event.
senĉesa, diskutis, oficejo;La ___ ___ la novan projekton ___ ___ . @The team discussed the new project continuously in the office.
vetero, pluvas, parapluo;Pro la malbona ___, kiam ___ , mi prenas mian ___ . @Because of the bad weather, when it rains, I take my umbrella.
pikniko, panon, fruktojn;Por la ___, mi kunportas ___ kaj ___ . @For the picnic, I bring bread and fruits.
vespero, restoracio, manĝis;En la ___, ni iris al la ___ kaj ___ bonguste. @In the evening, we went to the restaurant and ate deliciously.
muziko, aŭskultas, ĉambro;La ___ estas tiel alta, ke oni ___ ĝin en la tuta ___. @The music is so loud that one can hear it throughout the room.
biblioteko, studentoj, studas;En la ___, la ___ ___ por la ekzameno. @In the library, the students study for the exam.
sporto, ludas, tenison;Li estas amatora de ___, ĉefe li ___ ___. @He is a fan of sports, mainly he plays tennis.
urbo, amikoj, renkontiĝis;En la centra ___, ni ___ kun la ___ . @In the central city, we met with friends.
