patro;father
besto;animal
filo;son
domo;house
hundo;dog
tablo;table
meblo;a piece of furniture
viro;man
pomo;apple
pupo;doll
gepatroj;parents
esti;to be
stari; to stand
legi; to read
kiu;who, which
tiu;that, that one
patrino;mother
fratino;sister
filino;daughter
knabino;girl
sinjorino;lady, Mrs
lerni;to learn
kuiri;to cook
preĝi;to pray
kafo;coffee
aŭtomobilo;car
lernejo;school
kuirejo;kitchen
preĝejo;church
kafejo;cafe
hundejo;kennel
aŭtomobilejo;garage
familio;family
infanejo;children's room
banejo; bathroom
infano;child
dormoĉambro;bedroom
salono;lounge
manĝoĉambro;dining room
aŭ;or
bani;to bath
de;of, from
dormi;to sleep
dum;during, while
ekster; outside
en;in
fumi;to smoke
jen;here is! Behold!
kato;cat
kie;where
ludi;to play
nokto;night
nun;now
paĉjo;dad, daddy
panjo;mummy
persono;person
por;for
tago;day
Kion vi faras?;What are u doing?
konsistas el; consists of
