bele;beautifully
rapide;quickly
forte;strongly
rapida;quick
forta;strong
kiel;how ( also can be "like sth")
tiel;in that way, so
tiel ... kiel; as ... as (sth is as (good) as sth else)
ĉar; because
loĝi;live
veturi;travel
dometo;cottage (small house)
varmeta;lukewarm (small size warm)
malvarmeta;cool (small size cold)
dormeti;doze (a little sleep)
rideti;to smile
domego;mansion (big house)
dormegi; to sleep heavily
varmega;hot (very warm)
ridegi;guffaw (very laugh)
granda viro;big man
virego;a giant
malgranda viro;little man
vireto;a dwarf
riĉa;rich
riĉulo;rich person (one word)
sana;healthy
sanulo;healthy person (one word)
sporto;sport
sportulo;sportsman
sportulino;sportswoman
malsanulejo;hospital, place for sick people
malriĉulino;poor woman (one word)
montri;to show
urbo;city
monteto;a hill
strato;a street
rekte;directly, straight
centro;center
la ĉefa placo;the main square
Ĉirkaŭ la placo;Around the square
urbodomo;town hall
multaj;many
la mezo de la placo;the middle of the square
statuo;a statue
ĉe;on (on sth)
dekstra;right
flanko;side
trovi;to find
Kontraŭ la malsanulejo;Opposite the hospital
artgalerio;art gallery
nun;now
publika;public (an adjecctive)
florĝardeno;flower garden
promeni;to walk
ripozi;to rest
vojo;a road
vojeto;a path
vojeto kondukas;a path leads
kondukas tra;leads through
ĉefstrato;main street (one word)
ponto;a bridge
rapidege;very quickly (one word)
fervojo;a railway (one word)
tegmento;a roof
stacidomo;station
flanka;lateral (boczny)
kelkaj;some (some couple things)
parko;a park
ideo;an idea
ĉiela;a sky
blua;blue
edzo;a husband
suprizo;a surprize
alta;high
flor;flower
ĉefa;chief
eĉ;even
fero;iron
ha!;ah!
ho!;oh!
rekta;direct (an adjective)
monto;mountain
nu!;well (then)!
sub;under, below
nur;only, merely
plaĉi;to like
parto;a part
