kiu; who/which?
kio; what?
kies; whose?
kien; where to?
kie; where?
kiam; when?
kial; why?
kiel; how?
tiu; that/this
tiuj; those/these
tio; that thing/this thing, ___ estas mia libro. That is my book
tian; that kind of, Mi neniam vidis ___n floron antaŭe. I've never seen that kind of flower before
tial; for that reason, Ŝi ne venis, ____ mi estis malĝoja. She didn't come, for that reason I was sad
tiel; in that way, Li agis ____, kiel li promesis. He acted in the way that he promised.
si; oneself (3rd person reflexive),Li zorgas pri si. He takes care of himself.
sin; oneself (3rd person reflexive in the accusative case), She loves herself
