amiko;friend
floro;flower
instruisto;teacher
kafo;coffee
kuko;cookie
lakto;milk
pano;bread
sukero;sugar
teo;tea
bela;beautiful
granda;big
nova;new
bona;good
seka;dry
blanka;white
varma;hot
sana;healthy
ami;to love
celo;objective, goal
scienco;science
ĉio;everything
diri;to say
ĝena;annoying
gusta;tasty
ĝusta;correct
horo;hour
hailo;hail
ju;yeah
fiŝoj;fish
familio;family
kuirejo;kitchen
hundo;dog
hundejo;kennel
aŭtomobilo;car
aŭtomobilejo;garage
infanejo;children's room, nursery
banejo;bathroom
dormoĉambro;bedroom
toblo;table
mebloj;furniture
salono;living room
ĉambroj;rooms
Kion vi faras;What are you doing?
Kion ŝi faras;What is she doing?
konsistas;el consists of
Kiu vi estas;Who are you?
Kiuj ili estas;Who are they?
Ĉu vi soifas;Are you thirsty? 
Bonega;Excellent!
Jen via libro;Here is your book.
patro;father
patrino;mother
gepatroj;parents
frato;brother
fratino;sister
gefratoj;brother(s) and sister(s)
filo;son
filino;daughter
gefiloj;son(s) and daughter(s)
knabo;boy
knabino;girl
geknaboj;boy(s) and girl(s)
viro;man
virino;woman
inter Geviroj;equality BetweenPeople, Be it men or women 
sinjoro;gentleman, Mr
sinjorino;lady, Mrs
gesinjoroj;sir(s) and madam(s), Ladies and gentlemen
Paĉjo;Dad, Daddy 
Panjo;Mummy (pron. pan-yo)
mi;I (I am)
vi;you
li;he
ŝi;she
ĝi;it
ni;we
ili;they
mia;my
via;your
lia;his
ŝia;her
ĝia;its
nia;our
ilia;their
dormi;to sleep
fumi;to smoke
ludi;to play
manĝi;to eat
legi;to read
esti;to be
stari;to stand
sidi;to sit
paroli;to speak
iri;to go
veni;to come
fari;to do/make
vidi;to see
aŭdi;to hear
demandi;to ask
respondi;to answer
doni;to give
preni;to take
esti;to be
havi;to have
scii;to know
pensi;to think
ami;to love
labori;to work
lerni;to learn
kuri;to run
sidi;to sit
dormi;to sleep
