aŭstra;southern
enigmo;enigma, mystery
ĉial;therefore, for that reason
kvin;five
periodo;period
gratuli;to congratulate
ordoni;to order
vorto;word
Ĉilio;Chile
oficiala;official
maŝino;machine
Parizo;Paris
solena;solemn, formal
stomako;stomach
agariko;agaric (a type of fungus)
raporti;to report
ĉio;everything
teruro;terror
juna;young
sed;but
ŝtupo;step
animo;soul, spirit
nevo;nephew
sincera;sincere
kulero;spoon
Tanzanio;Tanzania
kompreni;to understand
ĵurnalo;journal, newspaper
antaŭ;before
dum;during
