amikoj; friends
amuza; amusing, funny
aŭdas; hears
avancita; advanced
aventuroj; adventures
boji; to bark
brilas; shines
certe; certainly
ĉar; because 
ĉielo; sky
ĉiuj; all, everyone
desegni; to draw
devi; must
do; so
dum; while
enhavas; contains
eterna; eternal
feliĉa; happy
forta; strong
gajni; to win
hela; bright
inteligenta; intelligent
intrigo; plot
kanti; sing
klaso; class
konkurso; competition
kontenta; content, satisfied
kreaĵo; creation
kreski; to grow
kune; together
kuraĝa; courageous
kuras; run
levi; lift
libera; free
luno; moon
libroj; books
menso; mind
mimoj; mimics, faces
multaj; many
multan da; a lot of
permesi; to allow
peza; heavy
plena; full
pluvi; to rain
problemojn; problems
rapide; quickly
rigardi; to watch, to look at
saĝa; wise
salon; salt
salta; salty
ŝarĝo; load
ŝati; to like
sincere; sincerely
solvi; to solve
sonĝi; to dream
stranga; strange
sukcesi; to succee
talenta; talented
timida; timid, shy
viviĝi; to come alive
vojaĝi; to travel
kune;together
