aĉa; bitter, harsh
aŭstra; Austrian
aferoj; matters, affairs
agarikoj; agarics (a type of mushroom)
agrabla; pleasant
animo; soul, spirit
antaŭ; before
ceremonio; ceremony
Ĉilio; Chile
ĉambro; room
ĉial; for that reason, therefore
ĉiutage; every day
daŭris; lasted
delikata; delicate
demandoj; questions
devi; have to
doloro; pain
enigmo; enigma, puzzle
entuziasmo; enthusiasm
esploristo; explorer
esprimi; express
evento; event
festo; celebration
filozofia; philosophical
forlasis; left behind
funkci; to function
gratulis; congratulated
helpo; help
honoro; honor
intenco; intention
interesa; interesting
interne; internally
juna; young
kelkaj; several
komplika; complicated
kompreno; understanding
konflikto; conflict
koro; heart
kuiristo; cook
kuleroj; spoons
loĝi; to live
malĝojo; sadness
malkontenteco; discontent
memorigoj; memories
naturo; nature
nevo; need
oficiala; official
Parizo; Paris
plori; to cry
preciza; precise
priskribis; described
profundan; deep
projekto; project
raporto; report
regi; to rule, reigne
reprezentanto; representative
riĉa; rich
ricevis; received
rilatas; relates
serioza; serious
situacio; situation
solena; solemn
speciala; special
spuro; trace, mark
stelojn; stars
ŝlosilo; key
ŝtupo; step, stair
tagoj; days
Tanzanio; Tanzania
teknikaĵoj; technical things, gadgets
teruro; terror
tuta; whole, entire
verkoj; works (artistic or literary)
