mi;I (I am)
vi;you
li;he
ŝi;she
ĝi;it
ni;we
ili;they
bona;good
bela;beautiful
juna;young
nova;new
paroli;to speak
ne;not
pura;clean
larĝa;wide
malbela;ugly
malbona;bad
maljuna;old (person)
malnova;old (object)
antaŭ;before,in front of
malantaŭ;behind
malgranda;small, little
mallarĝa;narrow
malpura;dirty
ludilo;toy
ŝranko;cupboard
bildo;picture
bone;well
muro;wall
seĝo;chair
fenestro;window
fajro;fire
ĉe;at (at the table)
sed;but
pupo;doll
sur;on (on the table)
kontenta;satisfied
diri;to say
respondi;to answer
diri al;to say to (say to sb)
respondi al;to answer to (answer to sb)
pendi;hang
super;over (meaning place)
jes;yes
kio;what
tio;that thing
kia;what kind of
tia;that kind of, such
planko;floor
ĝardeno;garden
komforta;comfortable
soifi;to be thirsty
jen la kafo;here is coffee
supozi;to suppose,to presume
ho;interjection expressing surprise or emotion
alia;other
brako;arm
dankon;thank you, thanks
iri;to go
libro;book
moderna;modern
pri;about
tre;very, very much
