kaj;Mi legas ___ skribas ĉiutage.@I read and write every day
aŭ;Vi povas elekti pomon __ bananon.@You can choose an apple or a banana.
sed;Mi volis iri al la kinejo, ___ mi ne havis sufiĉe da mono.@I wanted to go to the cinema, but I didn't have enough money.
tamen;Li estas juna, _____ li estas tre saĝa.@He is young, however, he is very wise.
ĉar;Mi ne iris al la festo, ___ mi estis malsana.@I didn't go to the party because I was sick.
do;Ŝi estis dormema, __ ŝi iris al lito frue.@She was sleepy, so she went to bed early.
nek nek;Mi ___ trinkis teon ___ kafon.@I drank neither tea nor coffee.
ol;Li estas pli alta __ mi.@He is taller than me.
Se;__ vi helpas min, mi ankaŭ helpos vin.@If you help me, I will also help you.
ke dum;Mi vidis, __ ŝi dormis ___ la prelego.@I saw that she slept during the lecture.
